term,estimate,std.error,statistic,p.value,Domain
(Intercept),0.07613672329615097,0.006472947323099149,11.762296137410534,1.0658862647285728e-18,Bacteria
0-1 years,-0.003072287938858979,0.009154129892853434,-0.3356176911207578,0.7380962169074157,Bacteria
1-2 years,0.011645383030796697,0.009154129892853424,1.272145268540288,0.20725173563026025,Bacteria
2-3 years,0.0033335690392365053,0.009154129892853437,0.3641601198863257,0.7167631044087398,Bacteria
3-4 years,0.006033772453529876,0.009154129892853425,0.6591311816801295,0.5118302564287621,Bacteria
(Intercept),0.5419396496666045,0.04226300361344696,12.82302731304629,1.372849978565485e-20,Fungi
0-1 years,-0.20806945484908523,0.0597689128967598,-3.4812320446331078,8.356691440057052e-4,Fungi
1-2 years,-0.24345808731756544,0.05976891289675973,-4.0733229954859045,1.1389155478341902e-4,Fungi
2-3 years,-0.30875828671435446,0.05976891289675982,-5.165867534644298,1.911085508553622e-6,Fungi
3-4 years,-0.25019778678780924,0.059768912896759736,-4.186085619793384,7.640862412054652e-5,Fungi
