term,estimate,std.error,statistic,p.value,Domain
(Intercept),27.651923615442136,6.533270939167715,4.232477708779174,2.8847785045143564e-5,Fungi
Value,12.006929820484258,3.0800132358360517,3.8983370853031567,1.1400321765231117e-4,Fungi
H (% ww),0.079201012905645,18.354609881191042,0.004315047468636561,0.9965593072342285,Fungi
N (% ww),-3.382395920595671,11.695417732641308,-0.2892069353927888,0.7725766981052092,Fungi
P (ppm),13.434392007619566,9.777998852805304,1.373940845141871,0.1702491788795518,Fungi
pH,-209.94630357014591,43.16365778903136,-4.863959968274443,1.6722335630861277e-6,Fungi
Value:H (% ww),5.22171274549112,12.844813034972828,0.40652306353341683,0.6845813005313943,Fungi
Value:N (% ww),78.09092637090066,31.533174791323628,2.4764688899129634,0.01369228919633791,Fungi
Value:P (ppm),-11.981568622955495,3.0800610946177813,-3.890042520225509,1.1781933369844624e-4,Fungi
Value:pH,31.6485264163711,8.53906731101969,3.7063212249806945,2.4071132754526566e-4,Fungi
(Intercept),159.97339386367312,13.421227925821508,11.919430528103575,3.8291957200727082e-28,Bacteria
Value,24.016643213844944,6.327237923790858,3.7957547200083437,1.7060776172500434e-4,Bacteria
H (% ww),4.060169755053632,37.70567683457843,0.10768059602447465,0.9143044355103618,Bacteria
N (% ww),-8.865776584661237,24.02577032837243,-0.36901112694777966,0.7123196814949175,Bacteria
P (ppm),-5.114027819005525,20.08683743317083,-0.25459596793273015,0.7991693639719253,Bacteria
pH,-598.5427242713769,88.67063599424976,-6.750179668387537,5.3654645522783533e-11,Bacteria
Value:H (% ww),7.577283944906559,26.38696068357069,0.28716016352820817,0.7741421967447923,Bacteria
Value:N (% ww),163.23285940979997,64.7782603905047,2.519870994154189,0.012138313235445149,Bacteria
Value:P (ppm),-23.885507884646,6.327336239569252,-3.774970537407707,1.8492825353295264e-4,Bacteria
Value:pH,96.70032208303265,17.54171374832447,5.512592638918712,6.442241185722486e-8,Bacteria
