Comparison,Difference,P_value,P_value_numeric
0-1 years - 1-2 years,9.73899684721946e-4,0.702,0.702
0-1 years - 2-3 years,3.73844076719074e-4,0.902,0.902
0-1 years - 3-4 years,-0.00599471368004021,0.161,0.161
0-1 years - oil palm,-0.00525604882621049,0.117,0.117
1-2 years - 2-3 years,-6.00055608002872e-4,0.734,0.734
1-2 years - 3-4 years,-0.00696861336476215,0.05,0.05
1-2 years - oil palm,-0.00622994851093243,0.126,0.126
2-3 years - 3-4 years,-0.00636855775675928,0.091,0.091
2-3 years - oil palm,-0.00562989290292956,0.182,0.182
3-4 years - oil palm,7.38664853829719e-4,0.894,0.894
