amplicon,sample,raw_reads,final_reads
bacteria,1_1,401742,76507
bacteria,1_10,404308,68031
bacteria,1_11,447146,93602
bacteria,1_12,404512,99643
bacteria,1_13,316909,80349
bacteria,1_14,308591,69792
bacteria,1_15,328952,92402
bacteria,1_16,343103,77966
bacteria,1_2,463222,73700
bacteria,1_3,422397,105551
bacteria,1_4,446984,74269
bacteria,1_5,443071,62631
bacteria,1_6,387597,57066
bacteria,1_7,318329,71767
bacteria,1_8,384940,70856
bacteria,1_9,388723,87417
bacteria,2_1,294153,71216
bacteria,2_10,452870,43235
bacteria,2_11,443655,61564
bacteria,2_12,417043,61066
bacteria,2_13,304566,57734
bacteria,2_14,316144,70263
bacteria,2_15,226016,53936
bacteria,2_16,386354,80185
bacteria,2_2,213418,98609
bacteria,2_3,203493,99660
bacteria,2_4,316982,93116
bacteria,2_5,260385,76139
bacteria,2_6,309630,87028
bacteria,2_7,334870,67310
bacteria,2_8,308923,89710
bacteria,2_9,383555,51487
bacteria,3_1,265247,82591
bacteria,3_10,224856,27128
bacteria,3_11,323391,90612
bacteria,3_12,369676,108321
bacteria,3_13,424312,124101
bacteria,3_14,412721,102804
bacteria,3_15,159618,123300
bacteria,3_16,399129,109887
bacteria,3_2,419914,62158
bacteria,3_3,105249,78227
bacteria,3_4,269144,91015
bacteria,3_5,381114,105151
bacteria,3_6,435704,80353
bacteria,3_7,333113,34550
bacteria,3_8,428439,79680
bacteria,3_9,435178,114472
bacteria,4_1,290601,64760
bacteria,4_10,368328,71249
bacteria,4_11,133862,68044
bacteria,4_12,392195,42607
bacteria,4_13,245453,12170
bacteria,4_14,441200,14800
bacteria,4_15,424449,13467
bacteria,4_16,434894,58777
bacteria,4_2,422160,76949
bacteria,4_3,330656,33856
bacteria,4_4,330419,82601
bacteria,4_5,210179,48675
bacteria,4_6,69920,86180
bacteria,4_7,69756,94375
bacteria,4_8,83033,80354
bacteria,4_9,259525,84919
bacteria,5_1,261577,51089
bacteria,5_10,323171,36751
bacteria,5_11,323159,20529
bacteria,5_12,196867,34138
bacteria,5_13,275197,41467
bacteria,5_14,140705,41639
bacteria,5_15,261510,75777
bacteria,5_16,379676,49893
bacteria,5_2,222444,65389
bacteria,5_3,174491,60467
bacteria,5_4,126134,38993
bacteria,5_5,165546,62082
bacteria,5_6,218647,30214
bacteria,5_7,184621,59577
bacteria,5_8,393748,81302
bacteria,5_9,236729,40820
fungi,1_1,1554245,163475
fungi,1_10,1059770,25181
fungi,1_11,940041,22936
fungi,1_12,198075,20111
fungi,1_13,62473,2326
fungi,1_14,486338,18736
fungi,1_15,663564,21279
fungi,1_16,1157063,78703
fungi,1_2,889904,1080
fungi,1_3,444454,9607
fungi,1_4,218530,29871
fungi,1_5,517695,7007
fungi,1_6,998674,6021
fungi,1_7,310341,4172
fungi,1_8,611506,15184
fungi,1_9,380730,72777
fungi,2_1,312303,10881
fungi,2_10,1141486,8910
fungi,2_11,769451,2770
fungi,2_12,37557,10233
fungi,2_13,3090971,14539
fungi,2_14,2427865,16758
fungi,2_15,65944,1658
fungi,2_16,51666,4141
fungi,2_2,286548,353209
fungi,2_3,563106,69189
fungi,2_4,880616,1587
fungi,2_5,112266,3852
fungi,2_6,250299,346153
fungi,2_7,401088,5220
fungi,2_8,554050,12021
fungi,2_9,2382397,93177
fungi,3_1,5056675,46901
fungi,3_10,199736,1963
fungi,3_11,263926,80846
fungi,3_12,169780,4504
fungi,3_13,112890,27251
fungi,3_14,925960,11530
fungi,3_15,251724,22699
fungi,3_16,198936,14984
fungi,3_2,2141199,28736
fungi,3_3,2031945,71393
fungi,3_4,905363,29946
fungi,3_5,2399123,16124
fungi,3_6,647993,86767
fungi,3_7,319113,24792
fungi,3_8,480718,30396
fungi,3_9,117849,4424
fungi,4_1,21603,922
fungi,4_10,535521,11511
fungi,4_11,329321,7544
fungi,4_12,243484,3250
fungi,4_13,2243998,369
fungi,4_14,815175,3495
fungi,4_15,531434,3730
fungi,4_16,198150,8103
fungi,4_2,679187,8799
fungi,4_3,747557,8521
fungi,4_4,660600,12273
fungi,4_5,384158,5083
fungi,4_6,685069,3400
fungi,4_7,708554,20049
fungi,4_8,417640,8631
fungi,4_9,416274,135699
fungi,5_1,52254,1910
fungi,5_10,255447,16638
fungi,5_11,181394,360
fungi,5_12,473765,5701
fungi,5_13,544241,34434
fungi,5_14,407006,64462
fungi,5_15,327002,18386
fungi,5_16,373003,41499
fungi,5_2,441135,3214
fungi,5_3,129302,4467
fungi,5_4,386056,1063
fungi,5_5,121033,13931
fungi,5_6,1154898,7065
fungi,5_7,954896,27267
fungi,5_8,462900,3272
fungi,5_9,1048599,7430
