new_TaxonID,Order_linked_to_NCBI
Aspergillus_terreus,Eurotiales
Verticillium_longisporum,Glomerellales
Cladosporium_sphaerospermum,Capnodiales
Pyricularia_oryzae,Magnaporthales
Rachicladosporium_sp._CCFEE_5018,Capnodiales
Erysiphe_pisi,Erysiphales
Neocosmospora_phaseoli_NRRL_54364,Hypocreales
Monilinia_fructigena,Helotiales
Colletotrichum_godetiae,Glomerellales
Neocosmospora_phaseoli_NRRL_31757,Hypocreales
Aspergillus_parasiticus,Eurotiales
Neocosmospora_phaseoli_NRRL_34551,Hypocreales
Pseudogymnoascus_sp._VKM_F-3775,no_rank
Drechslerella_stenobrocha,Orbiliales
Cetradonia_linearis,Lecanorales
Cryomyces_antarcticus,no_rank
Pleosporales_sp._UM_1110_2012,Pleosporales
Magnaporthiopsis_poae,Magnaporthales
Madurella_mycetomatis,Sordariales
Cordyceps_confragosa,Hypocreales
Fusarium_circinatum,Hypocreales
Colletotrichum_acutatum,Glomerellales
Morchella_eximia,Pezizales
Lanzia_echinophila,Helotiales
Rutstroemia_sydowiana,Helotiales
Hymenoscyphus_salicellus,Helotiales
Colletotrichum_musae,Glomerellales
Pseudogymnoascus_sp._VKM_F-3557,no_rank
Neurospora_pannonica,Sordariales
Macrophomina_phaseolina,Botryosphaeriales
Clarireedia_homoeocarpa,Helotiales
Neocosmospora_phaseoli_NRRL_31157,Hypocreales
Pseudogymnoascus_sp._24MN13,no_rank
Cordyceps_sp._RAO-2017,Hypocreales
Chaetomium_cochliodes,Sordariales
Cladosporium_cladosporioides,Capnodiales
Emmonsia_sp._CAC-2015a,Onygenales
Pseudogymnoascus_sp._VKM_F-4246,no_rank
Neurospora_terricola,Sordariales
Magnaporthe_grisea,Magnaporthales
Pseudogymnoascus_sp._VKM_F-3808,no_rank
Neocosmospora_phaseoli_NRRL_31096,Hypocreales
Ramalina_peruviana,Lecanorales
Pseudogymnoascus_sp._VKM_F-4514_FW-929,no_rank
